calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 0.000000 0.000000 0.000000 16.000000 0.000000 0.000000 16.000000 0.000000 0.001218 0.000000 0.000000 0.000000 0.000000 
1 0.200000 6.003933 0.000000 0.000000 18.311250 0.000000 0.000000 16.043922 0.007316 0.001955 6.003933 0.000000 0.000000 0.000000 
1 0.400000 6.003933 0.000000 0.000000 20.622500 0.000000 0.000000 16.043922 0.007316 0.002692 0.000000 0.000000 0.000000 0.000000 
1 0.600000 15.009832 0.000000 0.000000 22.933750 0.000000 0.000000 16.394067 0.031564 0.003429 9.005899 0.000000 0.000000 0.000000 
1 0.800000 25.516714 0.000000 0.026803 25.243612 0.042889 -0.000966 17.437088 0.067584 0.004166 10.506882 0.026803 0.000000 0.000000 
1 1.000000 36.019822 0.281585 0.000000 27.554862 0.032742 -0.000966 19.317242 0.111361 0.004903 10.506882 -0.026803 0.000000 0.000000 
2 1.000000 36.019822 0.281585 0.000000 27.554862 0.032742 -0.000966 19.317242 0.111361 0.004903 0.000000 0.000000 80.000000 0.000000 
3 1.000000 33.295893 0.169548 -0.001860 15.085071 0.035421 -0.000608 8.617284 -0.072742 0.001736 0.000000 0.000000 0.000000 0.000000 
1 1.200000 45.303738 0.147216 -0.001860 17.396286 0.022659 -0.000570 7.120638 -0.051898 0.002473 12.007865 0.000000 0.000000 0.000000 
1 1.400000 57.311582 0.124885 -0.001860 19.707504 0.011026 -0.000514 6.230835 -0.022204 0.003210 12.007865 0.000000 0.000000 0.000000 
1 1.600000 69.319427 0.102554 -0.001860 22.018725 0.000917 -0.000443 6.160410 0.016339 0.003947 12.007865 0.000000 0.000000 0.000000 
1 1.800000 78.325310 0.085806 -0.001860 24.329953 -0.006499 -0.000377 6.774824 0.051884 0.004684 9.005899 0.000000 0.000000 0.000000 
1 2.000000 90.333155 0.063475 -0.001860 26.641181 -0.012905 -0.000272 8.696215 0.108127 0.005421 12.007865 0.000000 0.000000 0.000000 
2 2.000000 90.333155 0.063475 -0.001860 26.641181 -0.012905 -0.000272 8.696215 0.108127 0.005421 0.000000 0.000000 80.000000 5.000000 
3 2.000000 87.961003 -1.237092 -0.041659 14.806939 -0.006976 -0.000205 4.260428 -0.027538 0.001272 0.000000 0.000000 0.000000 0.000000 
1 2.200000 99.958450 -1.737186 -0.041659 17.114293 -0.111748 0.000431 3.786722 -0.012280 0.002009 12.007865 0.000000 0.000000 0.000000 
1 2.400000 110.456216 -2.174768 -0.014856 19.425217 -0.140171 0.000745 3.750901 0.008822 0.002746 10.506882 0.026803 0.000000 0.000000 
1 2.600000 119.461121 -2.308554 -0.014856 21.736205 -0.163308 0.001112 4.132945 0.033547 0.003483 9.005899 0.000000 0.000000 0.000000 
1 2.800000 125.464392 -2.397745 0.092357 24.027633 0.025485 -0.000816 4.678191 0.054368 0.004220 6.003933 0.107213 0.000000 0.000000 
1 3.000000 129.948150 -1.982457 0.172767 26.274372 0.356697 -0.004083 5.311870 0.073086 0.004957 4.502949 0.080410 0.000000 0.000000 
1 3.200000 135.862701 -0.950328 0.279980 28.436322 0.778241 -0.012307 6.496831 0.101687 0.005694 6.003933 0.107213 0.000000 0.000000 
2 3.200000 135.862701 -0.950328 0.279980 28.436322 0.778241 -0.012307 6.496831 0.101687 0.005694 0.000000 0.000000 80.000000 -25.000000 
3 3.200000 135.909450 -0.368783 0.302329 14.798710 1.070838 0.020066 3.437203 -0.016728 0.001078 0.000000 0.000000 0.000000 0.000000 
1 3.400000 145.939799 2.759582 0.329132 16.744644 1.997700 0.016404 3.452607 -0.006008 0.001815 10.506882 0.026803 0.000000 0.000000 
2 3.400000 145.939799 2.759582 0.329132 16.744644 1.997700 0.016404 3.452607 -0.006008 0.001815 0.000000 0.000000 80.000000 -30.000000 
3 3.400000 141.848995 2.585707 0.338522 10.792003 1.389413 0.013263 3.060072 -0.021955 0.001074 0.000000 0.000000 0.000000 0.000000 
1 3.600000 153.175374 6.573434 0.338522 12.759664 2.302642 0.008978 2.955470 -0.009785 0.001811 12.007865 -0.000000 0.000000 0.000000 
2 3.600000 153.175374 6.573434 0.338522 12.759664 2.302642 0.008978 2.955470 -0.009785 0.001811 0.000000 0.000000 80.000000 25.000000 
3 3.600000 152.963269 6.388400 0.329064 9.397778 1.423660 0.020875 2.595760 -0.016908 0.000963 0.000000 0.000000 0.000000 0.000000 
1 3.800000 164.326857 10.268826 0.329064 11.320155 2.390843 0.017138 2.577218 -0.005964 0.001700 12.007865 0.000000 0.000000 0.000000 
1 4.000000 174.269996 13.664199 0.355867 13.248165 3.274959 0.010914 2.905203 0.010780 0.002437 10.506882 0.026803 0.000000 0.000000 
1 4.200000 178.490812 15.233040 0.436277 15.113998 4.165242 0.006277 3.446492 0.020727 0.003174 4.502949 0.080410 0.000000 0.000000 
1 4.400000 182.571976 17.135842 0.516687 16.848996 5.108785 -0.000784 4.221473 0.033154 0.003911 4.502949 0.080410 0.000000 0.000000 
